SOAL;PILIHAN A;PILIHAN B;PILIHAN C;PILIHAN D;PILIHAN E;KUNCI JAWABAN;PEMBAHASAN 
Gagasan utama tajuk tersebut adalah…;Dampak kenaikan harga sembako bagi masyarakat;Tindakan di luar aturan tidak dibenarkan;Keperluan masyarakat semakin meningkat;Pemerintah menggulirkan beras murah;;a;Gagasan utama tajuk merupakan gagasan yang menjadi dasar untuk mengembangkan masalah atau pembicaraan. Gagasan utama tajuk tersebut adalah “dampak kenaikan harga sembako bagi masyarakat”. (A)
Dalam tajuk tersebut, penulis berpihak kepada…;Pemerintah;Guru;Profesi;Masyarakat;;d;Keberpihakan penulis dapat kita cermati dari pernyataan-pernyataan penulis. Pada kalimat ketiga paragraf kedua,serta kalimat kedua dan ketiga paragraph ketiga menguatkan posisi yang berpihak kepada masyarakat. (D)
Simpulan isi tajuk tersebut adalah…;Rangkap jabatan dalam BUMN bisa dilakukan, jika pimpinan dikaruniai kemampuan lebih;Rangkap jabatan dalam BUMN dapat dilakukan asal fokus pada jabatan utama dan sebaliknya;Rangkap jabatan dalam BUMN tidak boleh dilakukan karena berdapak negatif dan merugikan masyarakat;Rangkap jabatan boleh dilakukan asal tidak memboroskan uang Negara dan tidak menjadikan BUMN sebagai lembaga sambilan;;c;Simpulan tajuk tersebut adalah “Rangkap jabatan dalam BUMN tidak boleh dilakukan karena berdapak negatif dan merugikan masyarakat” (C)
Topik yang dibicarakan dalam kutipan di atas mengenai…;Banjir di Kepulauan Samudera Pasifik;Penyebab naiknya gelombang air laut;Perubahan iklim global;Dampak pemanasan global;;d;Topik adalah inti persoalan dalam suatu bacaan. Topik bacaan tersebut adalah “Dampak pemanasan global.” (D)
Pernyataan yang sesuai dengan isi bacaan di atas adalah….;Gas hasil pembakaran bahan bakar fosil menjadi salah satu penyebab efek rumah kaca.;Penduduk Lateu tinggal di Papua New Genia.;Para Ilmuawan memperkirakan bahwa permukaan air laut akan naik lebih dari satu meter.;Pulau Tegue adalah pulau yang terancam banjir akibat naiknya permukaan air laut.;;a;Pernyataan yang sesuai dengan isi bacaan di atas adalah “Gas hasil pembakaran bahan bakar fosil menjadi salah satu penyebab efek rumah kaca.” (A)
Pernyataan yang tidak benar yang berhubungan dengan Pulau Tegue adalah…;Rumah kayu merupakan rumah khas penduduk di Pulau Tegue.;Di Pulau Tegue banyak terdapat pohon kelapa.;Badai menyebabkan air pasang yang tinggi di Pulau Tegue.;Pulau Tegue berpenduduk seratus orang.;;d;Pernyataan yang tidak benar adalah Pulau Tegue berpenduduk seratus orang. (D)
Topik yang dibicarakan dalam teks di atas adalah;Kecenderungan orang berlibur ke luar negeri.;Tujuan orang berlibur ke luar negeri.;Daya tarik wisata ke manca Negara.;Berkunjung ke negar tetangga.;;a;Topik adalah pokok pikiran yang mendasari wacana. Topik akan tersirat atau tersurat dalam seluruh wacana sehingga topik teks tersebut adalah “kecenderungan orang berlibur ke luar negeri.” (A)
Berikut ini adalah pernyataan yang tidak sesuai dengan isi teks di atas  adalah…;Tempat wisata di Bali lebih terawatt daripada tempat lainnya.;Bagian terbesar orang Indonesia yang berlibur ke luar negeri adalah kelompok usia produktif.;Jumlah orang Indonesia yang berlibur ke luar negeri meningkat dari tahun ke tahun.;Umumnya orang lebih suka mengunjungi tempat wisata di dalam negeri sebelum mengunjungi tempat di luar negeri;;d;“Umumnya orang lebih suka mengunjungi tempat wisata di dalam negeri sebelum mengunjungi tempat wisata di luar negeri.” tidak terdapat pada teks di atas. (D)
Gagasan utama kutipan tajuk tersebut adalah ...;Kematian H.M. Soeharto menimbulkan pertentangan pendapat. ;Usul sikap bijak menyikapi masalah yang  muncul terkait dengan mantan presiden kedua RI.;Suasana duka masih mewarnai kepergian mantan presiden Soeharto.;Tugas pemerintah dalam menanggapi persoalan yang ada.;;b;Gagasan utama tajuk merupakan ide (pendapat) penulis tentang fenomena hangat.  Fenomena pada teks: H.M. Soeharto meninggal, ada yang berduka, ada yang menyampaikan penyelesaikan hukum, ada yang mengingatkan agar pandai bersikap Ide (pendapat) penulis: minta perhatian atas persoalan=bijak  (paragraf  terakhir kalimat pertama). (B)
Simpulan tajuk tersebut adalah ...;Rasa duka boleh saja, tetapi masalah hukum jangan diselesaikan.;Presiden Soeharto meninggal tanggal 27 Januari 2007 di Jakarta.;Pemerintah harus menyikapi pertentangan yang timbul, untuk  pegangan semua pihak.;Kesalahan Soeharto sebaiknya kita maafkan mengingat jasa-jasa beliau sangat banyak.;;c;Simpulan tajuk merupakan pendapat akhir terhadap data baik fakta maupun opini pada tajuk. Data: H.M. Soeharto meninggal, ada yang berduka, ada yang menyampaikan penyelesaikan hukum, ada yang mengingatkan agar pandai bersikap. Pendapat akhir: Pemerintah harus menyikapi pertentangan yang timbul (tidak bertentangan dengan data). (C)
Kritikan terhadap pihak supermarket pada teks tersebut adalah ...;Pembeli bebas memilih berbelanja di supermarket mana saja.;Pihak supermarket harus mencermati isi brosur sebelum diedarkan.;Konsumen berhak memilih harga yang paling murah.;Pihak supermarket sengaja menurunkan harga barang.;;b;Kritikan berupa perbaikan (koreksi) terhadap perilaku negatif. Kata yang menyiratkan perilaku negatif: “tidak sesui dengan isi brosur … menjelaskan … salah cetak.” (B)
Simpulan paragraf tersebut adalah ...;Suku Sakai merdeka secara ekonomi dan sosial.;Suku Sakai memiliki cadangan minyak.;Suku Sakai dijajah bangsa sendiri.;Suku Sakai hidup menderita karena bangsa asing.;;d;Simpulan merupakan pendapat akhir dari data yang terdapat pada isi teks bacaan. Isi teks: Suku Sakai ... terjajah (kalimat 1) mereka ... dijajah .... (kalimat 2) mereka ... meiliki ... (kalimat 3) sayangnya ... menikmati ... orang asing (kalimat 4) Pendapat akhir: Suku Sakai menderita karena orang asing .... (sesuai data pada kalimat 1, 3, dan 4) (D)
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
